,Employee ID,Full Name,Start Date,Title,Supervisor,Mail,Business Unit,Employee Status,Job Type,Zone,Contract Type,Termination Type,Department,Division,Date of Birth,State,Job,Gender,Zipcode,RaceDesc,Marital Status,Performance Score,Current Employee Rating
0,3427,Uriah Bridges,20-Sep-19,Production Technician I,Peter Oneill,uriah.bridges@bilearner.com,CCDR,Active,Contract,Zone C,Temporary,Unknown,Production       ,Finance & Accounting,07-10-1969,Massachussets,Accounting,Female,34904,White,Widowed,Fully Meets,4
1,3428,Paula Small,11-Feb-23,Production Technician I,Renee Mccormick,paula.small@bilearner.com,EW,Active,Contract,Zone A,Part-Time,Unknown,Production       ,Aerial,30-08-1965,Massachussets,Labor,Male,6593,Hispanic,Widowed,Fully Meets,3
2,3429,Edward Buck,10-Dec-18,Area Sales Manager,Crystal Walker,edward.buck@bilearner.com,PL,Active,Full-Time,Zone B,Part-Time,Unknown,Sales,General - Selling General and Administrative,06-10-1991,Massachussets,Assistant,Male,2330,Hispanic,Widowed,Fully Meets,4
3,3430,Michael Riordan,21-Jun-21,Area Sales Manager,Rebekah Wright,michael.riordan@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Unknown,Sales,Finance & Accounting,04-04-1998,North Dakota,Clerk,Male,58782,Other,Single,Fully Meets,2
4,3431,Jasmine Onque,29-Jun-19,Area Sales Manager,Jason Kim,jasmine.onque@bilearner.com,TNS,Active,Contract,Zone A,Temporary,Unknown,Sales, General - Conference,29-08-1969,Florida,Laborer,Female,33174,Other,Married,Fully Meets,3
5,3432,Maruk Fraval,17-Jan-20,Area Sales Manager,Sheri Campos,maruk.fraval@bilearner.com,BPC,Active,Contract,Zone B,Full-Time,Unknown,Sales,Field Operations,03-04-1949,Connecticut,Driver,Male,6050,Black,Married,Fully Meets,3
6,3433,Latia Costa,06-Apr-22,Area Sales Manager,Jacob Braun,latia.costa@bilearner.com,WBL,Active,Full-Time,Zone B,Temporary,Involuntary,Sales,General - Engineering,01-07-1942,California,Technician,Female,90007,Hispanic,Divorced,Exceeds,4
7,3434,Sharlene Terry,06-Nov-20,Area Sales Manager,Tracy Marquez,sharlene.terry@bilearner.com,CCDR,Active,Contract,Zone C,Full-Time,Involuntary,Sales,Engineers,07-03-1957,Oregon,Engineer,Female,97756,White,Divorced,Fully Meets,2
8,3435,Jac McKinzie,18-Aug-18,Area Sales Manager,Sharon Becker,jac.mckinzie@bilearner.com,NEL,Active,Contract,Zone B,Part-Time,Unknown,Sales,Executive,15-05-1974,Texas,Executive Assistant,Male,78789,Black,Widowed,Exceeds,3
9,3436,Joseph Martins,21-Jan-22,Area Sales Manager,George Jenkins,joseph.martins@bilearner.com,BPC,Active,Part-Time,Zone B,Temporary,Resignation,Sales,Engineers,11-11-1949,Texas,Engineer,Male,78207,Asian,Widowed,Fully Meets,5
10,3437,Myriam Givens,04-Aug-23,Area Sales Manager,Troy White,myriam.givens@bilearner.com,SVG,Active,Contract,Zone B,Temporary,Unknown,Sales,Field Operations,26-01-1964,Indiana,Technician,Female,46204,Other,Single,Fully Meets,5
11,3438,Dheepa Nguyen,10-Aug-18,Area Sales Manager,Brian Miller,dheepa.nguyen@bilearner.com,MSC,Active,Full-Time,Zone C,Temporary,Retirement,Sales, General - Conference,06-04-1948,Georgia,Technician,Female,30428,Asian,Married,Fully Meets,3
12,3439,Bartholemew Khemmich,25-May-22,Area Sales Manager,Charles Parks,bartholemew.khemmich@bilearner.com,EW,Active,Full-Time,Zone A,Temporary,Involuntary,Sales,Splicing,24-11-1981,Colorado,Splicer,Male,80820,Other,Single,Fully Meets,3
13,3440,Xana Potts,05-Dec-19,Area Sales Manager,Gregory Walker,xana.potts@bilearner.com,CCDR,Active,Contract,Zone A,Full-Time,Resignation,Sales,Finance & Accounting,06-11-1951,Kentucky,Controller,Female,40220,White,Divorced,Fully Meets,3
14,3441,Prater Jeremy,28-Apr-19,Area Sales Manager,Tyler Lewis,prater.jeremy@bilearner.com,BPC,Active,Part-Time,Zone A,Part-Time,Unknown,Sales, General - Conference,21-11-1989,Nevada,Lineman,Male,89139,Asian,Widowed,Exceeds,4
