,Applicant ID,Application Date,First Name,Last Name,Gender,Date of Birth,Phone Number,Email,Address,City,State,Zip Code,Country,Education Level,Years of Experience,Desired Salary,Job Title,Status,Phone_Number
0,1001,3-Jun-23,Scott,Sheppard,Male,31-08-1992,-765538992,perezjanet@example.org,597 Smith Point,Hollandfort,Nevada,57588,Micronesia,High School,8,60103.21,Chief Technology Officer,Interviewing,4.2143E+14
1,1002,15-May-23,Stanley,Lewis,Male,29-04-1965,-453081524,grossmark@example.com,8116 Stuart Loop,Port Margaretfurt,Tennesse,14726,Greenland,Bachelor's Degree,17,64575.84,"Designer, furniture",Rejected,1.45157E+14
2,1003,4-Aug-23,Javier,Li,Female,10/3/1973,-4598,katiemaldonado@example.com,5940 Barr Villages Suite 075,Dianaland,Texas,4699,China,PhD,20,39422.71,"Sound technician, broadcasting/film/video",Rejected,8589015499
3,1004,28-Jul-23,Christopher,Johnston,Other,4/4/2001,-18391329,sheila73@example.com,442 Lewis Mount,Youngfurt,Georgia,34455,Ghana,High School,8,51045.11,Air cabin crew,Rejected,8.53681E+13
4,1005,5-Jun-23,Melissa,Hicks,Other,17-06-1978,-847867237,emilypatterson@example.org,95961 Taylor Circles Apt. 169,East Ashleyborough,Indiana,21014,Solomon Islands,Master's Degree,0,52792.86,Art therapist,Interviewing,3.64576E+14
5,1006,26-Jul-23,Christian,Maddox,Female,14-06-1983,-1979,pvelasquez@example.net,3030 Bell Islands,Boonefort,North Carolina,34763,Liberia,Master's Degree,18,97746.62,"Engineer, electronics",In Review,8949402919
6,1007,9-Jun-23,Paul,Hammond,Female,16-08-1963,+-,aclayton@example.net,58473 Jenna Trail,Port Barry,Georgia,57472,Congo,High School,11,80119.39,"Scientist, research (maths)",Offered,
7,1008,15-Jul-23,Madison,Williamson,Male,7/9/1978,-29557393,jeffreyellis@example.com,24740 Gregory Stravenue Suite 212,New Luisfort,Virginia,71682,Pitcairn Islands,Bachelor's Degree,0,41578.78,"Teacher, primary school",Offered,1.90299E+13
8,1009,16-Jun-23,Rachael,Duran,Male,11/9/1997,-3635462477,hamptontimothy@example.net,375 Flowers Well,Amandashire,Palau,25218,Spain,High School,15,44489.6,Phytotherapist,Interviewing,1.73858E+15
9,1010,25-May-23,Sherri,Taylor,Male,24-04-1983,-127,cshaw@example.net,037 Quinn Route,Garrisonmouth,California,82074,Gabon,Master's Degree,4,97363.53,"Pilot, airline",Offered,9153720499
10,1011,14-May-23,Jennifer,Weaver,Other,22-10-1998,-8060,sloankrista@example.org,700 Quinn Green Suite 066,Haileyville,Mississipi,37729,Switzerland,PhD,19,39252.38,Theatre director,In Review,8524358495
11,1012,4-Jun-23,Kyle,Blake,Other,25-03-2001,-793324029,shelia63@example.net,611 Thomas Dam Suite 296,East Melinda,Ohio,62970,China,Bachelor's Degree,7,79650.82,Corporate treasurer,Applied,1.52791E+14
12,1013,23-Jul-23,James,Bailey,Female,12/5/1983,-5844,fraziermichelle@example.net,4469 Holt Divide Suite 740,Hahnberg,Arizona,61409,Guam,Master's Degree,12,86588.22,Accounting technician,Offered,6069266770
13,1014,12-Jun-23,Heidi,Wood,Male,20-11-1965,-28181564,brentswanson@example.org,527 Jamie Viaduct,Christopherberg,Connecticut,34112,Central African Republic,Bachelor's Degree,9,59082.57,Learning disability nurse,Rejected,2.09368E+13
14,1015,4-Jul-23,Johnny,Nguyen,Other,23-11-1971,-4955942381,clarkdawn@example.net,621 Mitchell Glen Apt. 704,Leehaven,West Virginia,82030,Kenya,Bachelor's Degree,2,91301.9,Web designer,Rejected,1.97059E+15
15,1016,26-Jul-23,Olivia,Watson,Female,9/8/1970,+-,rachel98@example.com,3578 Warren Prairie Suite 287,North Ariel,Nevada,37858,Belize,Master's Degree,2,44515.4,"Scientist, research (physical sciences)",Interviewing,
